resource_id,field,current_value,candidate_value,evidence_url,decision,risk,note
DR0046,data_formats,"NetCDF | XLSX | CSV | mapas","NetCDF | XLSX | CSV",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,apply,AUTO-SAFE,"Mapas são visualização/produto, não formato de dados."
DR0046,license,"licença da Comissão Europeia; consultar versão","CC BY 4.0 para material da União Europeia salvo indicação contrária; componentes de terceiros mantêm termos/fonte próprios",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,apply,AUTO-SAFE,"A página oficial declara CC BY 4.0 para material da UE salvo indicação contrária; componentes IEA e terceiros preservam suas condições."
DR0047,authentication_required,"sim","parcial",https://documentation.dataspace.copernicus.eu/Ecosystem.html,apply,AUTO-SAFE,"CDSE oferece serviços abertos sem registro e também serviços/dados que exigem conta/credenciais."
DR0047,access_conditions,"cadastro","serviços/dados públicos gratuitos sem registro em canais selecionados | conta para serviços/capacidades registradas e credenciais de APIs específicas | serviços adicionais podem ter condições próprias",https://documentation.dataspace.copernicus.eu/Ecosystem.html,apply,AUTO-SAFE,"Separar canais públicos, registrados e serviços adicionais."
DR0048,access_protocols,"REST API de busca | download HTTP | clientes de linha de comando","REST API de busca | HTTP/HTTPS download",https://esgf.github.io/esgf-user-support/user_guide.html,apply,AUTO-SAFE,"Clientes Wget/Globus/Synda/Python são ferramentas/métodos, não protocolos canônicos."
DR0049,data_formats,"formatos variados","JSON | CSV | Shapefile | GeoPackage | GeoJSON; datasets associados podem variar",https://deims.org/docs/export.html,apply,AUTO-SAFE,"Formatos de exportação do DEIMS-SDR são explicitamente documentados; datasets externos podem variar."
DR0049,access_protocols,"REST API DEIMS-SDR | exportação de metadados","REST API | WMS | WFS | CSW | OAI-PMH | HTTP export",https://deims.org/docs/export.html,apply,AUTO-SAFE,"Separar interfaces oficiais de formatos/clientes."
DR0049,access_conditions,"aberto, solicitação ou restrito conforme o sítio","conteúdo DEIMS-SDR público e gratuito sem conta; uso não comercial sob termos do serviço; datasets externos associados podem ter condições próprias",https://deims.org/terms,apply,AUTO-SAFE,"Os termos distinguem conteúdo do serviço de links/datasets externos."
DR0049,license,"varia conforme o dataset","DEIMS-SDR CC BY-NC 4.0 para conteúdo/registros do serviço; datasets externos associados podem ter licenças próprias",https://deims.org/terms,apply,AUTO-SAFE,"Registrar licença própria do DEIMS-SDR sem universalizar para repositórios externos."
DR0050,verification_url,"https://daac.ornl.gov/sign_in.shtml","https://www.earthdata.nasa.gov/centers/ornl-daac",https://www.earthdata.nasa.gov/centers/ornl-daac,apply,AUTO-SAFE,"A página do centro representa identidade/escopo; login continua evidência específica das condições de download."
DR0051,data_formats,"visualização web | metadados exibidos na interface; base integral sem formato público de download","não se aplica — base integral sem formato público de download; metadados selecionados são exibidos na interface",https://interactive.carbonbrief.org/cosmos/methodology/index.html,apply,AUTO-SAFE,"Visualização web é interface, não formato."
DR0051,limitations,"A base integral não é aberta nem oferecida para download; os produtos públicos são metodologia, rankings e mapa interativo. Propostas de pesquisa dependem de colaboração com o Carbon Brief.","A base integral não é open source nem oferecida para download; produtos públicos incluem metodologia, rankings e mapa interativo; propostas de pesquisa dependem de colaboração com Carbon Brief; a base será atualizada e expandida ao fim de cada ano-calendário.",https://interactive.carbonbrief.org/cosmos/methodology/index.html,apply,AUTO-SAFE,"Registrar política atual de acesso e manutenção anual sem confundir com resolução temporal."
